x	y	z	elevation_mask	use_for_kriging	LCV.pred	LCV.var
-14450	18150	455	569.654107422795	TRUE	1374.89735182963	88631.229737684
-14350	18150	455	568.079271596588	TRUE	1351.11718090115	88523.6278517323
-14250	18150	455	567.972627354817	TRUE	1331.14711052391	88214.8993827204
-14150	18150	455	568.554610852547	TRUE	1334.70534254414	87670.9532055189
-14050	18150	455	570.777277394893	TRUE	1357.77043351484	87034.8121208225
-13950	18150	455	573.634290122347	TRUE	1389.86031548534	86614.1208320175
-13850	18150	455	576.358373613292	TRUE	1418.376236968	86696.4297820845
-13750	18150	455	577.888615254401	TRUE	1427.61377365547	87241.0886098284
-13650	18150	455	578.628355838478	TRUE	1418.64956251981	87888.1964051633
-13550	18150	455	578.703831942867	TRUE	1395.33708873641	88338.9136474211
-13450	18150	455	578.191331258177	TRUE	1371.21141915922	88544.7506074109
-13350	18150	455	577.356185567341	TRUE	1372.38568145053	88617.7953851767
-13250	18150	455	578.035575691403	TRUE	1377.79468039243	88647.171373501
-13150	18150	455	581.490805994261	TRUE	1377.45810616289	88650.8561701002
-13050	18150	455	585.947373596925	TRUE	1377.45810616289	88650.8561701002
-12950	18150	455	591.165285836941	TRUE	1377.45810616289	88650.8561701002
-12850	18150	455	593.423902721275	TRUE	1376.93421417473	88649.8121368944
-12750	18150	455	592.801253676848	TRUE	1375.30731694353	88642.6474573949
-12650	18150	455	592.854892468735	TRUE	1374.18137115636	88636.50850082
-12550	18150	455	595.414117810956	TRUE	1374.81119186528	88640.1251198121
-12450	18150	455	597.879725751622	TRUE	1376.55846999845	88648.2444446884
-12350	18150	455	599.435656038857	TRUE	1377.45810616289	88650.8561701002
-12250	18150	455	596.196254130448	TRUE	1377.45810616289	88650.8561701002
-12150	18150	455	592.586062745597	TRUE	1377.45810616289	88650.8561701002
-12050	18150	455	589.600022296243	TRUE	1377.45810616289	88650.8561701002
-14950	18250	455	586.259021125646	TRUE	1395.76029999217	87716.4786291981
-14850	18250	455	585.586674499854	TRUE	1391.5599504984	88074.6965377432
-14750	18250	455	581.154135465923	TRUE	1386.42128649845	88423.267325736
-14650	18250	455	578.441997105809	TRUE	1382.69313778607	88596.4394444302
-14550	18250	455	575.822191814499	TRUE	1380.54346755575	88614.7853317099
